,Rasmussen Jacob,Duursma Iwan Maynard,Thorner Jesse,Balogh József,Cooney Daniel B,Feng Runhuan,Hirani Anil N,Mineyev Igor,La Nave Gabriele,Guzman Rosemary K,Junge Marius,Stojanoska Vesna,Reznick Bruce,Hur Vera Mikyoung,Berwick-Evans Daniel,Wei Wei,Quan Zhiyu,Kedem Rinat,Ahlgren Scott D,Fernandes Rui Loja,Rapti Zoi,Kutzarova Denka N,Kirr Eduard,Ivanov Sergei Vladimirovich,Bronski Jared C,Oikhberg Timur,Kerman Ely,Janda Felix,Ford Kevin B,Laugesen Richard Snyder,Mc Carthy Randy,Young Amanda,Tyson Jeremy T,Zaharescu Alexandru,Li Xiaochun,Jing Xiaochen,Hung Pei-Ken,Rasmussen Sarah Dean,De Ville R E Lee,Sowers Richard B,Albin Pierre,Fadina Tolulope,Baryshnikov Yuliy M,Heller Jeremiah Ben,Tzirakis Nikolaos,Wu Xuan,Leditzky Felix,Dey Partha Sarathi,Nikolaev Igor G,Yong Alexander T F,Song Renming,Tumanov Alexander,Erdoğan Mehmet Burak,Dodd Christopher,Boca Florin-Petre,Kirkpatrick Kay Lene,Lerman Eugene M,Hinkkanen Aimo,Pascaleff James Thomas,Di Francesco Philippe,Zharnitsky Vadim,Liu Yuan,Rezk Charles W,Dutta Sankar Prasad,Dunfield Nathan M,Bradlow Steven Benjamin,Haboush William J,Tolman Susan,Katz Sheldon H,Kostochka Alexandr V
Rapti Zoi,1,1,1,2,3,1,1,1,2,1,1,1,2,3,1,0,0,2,1,2,17,1,2,1,6,1,1,1,1,1,1,2,2,1,1,0,1,1,4,2,1,0,2,1,4,0,1,1,1,1,1,1,4,1,1,1,1,1,1,2,5,1,1,1,1,1,1,1,2,1
Kutzarova Denka N,2,3,4,6,0,3,1,1,1,1,16,3,4,3,2,0,0,2,4,4,1,41,2,6,1,15,1,2,6,12,3,1,5,15,4,0,1,1,1,4,3,0,4,3,6,0,0,2,1,7,7,4,7,1,9,2,4,6,3,1,1,1,2,3,3,1,2,3,3,4
Kirr Eduard,1,1,1,1,0,1,1,1,2,1,4,1,2,4,2,0,0,2,1,3,2,2,11,1,4,2,1,1,1,3,1,3,2,3,1,0,2,1,2,2,2,0,3,1,4,1,1,2,1,1,3,1,5,1,3,3,2,1,1,3,4,1,1,1,1,2,1,2,2,1
Ivanov Sergei Vladimirovich,3,3,5,6,0,1,1,4,3,1,10,5,8,2,3,0,0,3,8,5,1,6,1,32,2,6,2,4,11,5,4,1,11,15,3,0,2,2,1,4,2,0,4,6,3,0,0,1,4,7,5,2,4,2,5,1,4,6,1,3,1,2,3,7,5,6,5,4,2,3
Bronski Jared C,2,1,2,3,0,1,1,1,2,1,3,1,2,8,2,0,0,3,3,2,6,1,4,2,26,1,1,1,1,2,1,3,1,3,1,0,2,1,7,4,3,0,9,1,7,1,1,2,1,2,3,2,9,1,3,4,4,1,1,4,9,1,1,1,2,2,2,3,3,1
Oikhberg Timur,1,1,2,7,0,2,2,2,2,2,15,2,5,1,1,0,0,1,5,2,1,15,2,6,1,30,1,1,6,12,2,3,7,15,4,0,1,2,2,4,1,0,3,3,5,0,1,1,1,4,7,3,5,1,9,3,3,8,1,3,2,1,2,5,3,4,1,1,1,5
Kerman Ely,4,3,3,3,0,1,1,3,3,1,6,4,2,2,3,0,0,2,4,6,1,1,1,2,1,1,14,4,5,2,2,1,2,5,1,1,2,2,1,1,2,1,3,3,2,0,2,1,2,5,2,1,3,3,3,2,5,4,3,3,2,1,3,2,4,3,2,8,3,2
Janda Felix,6,1,4,3,0,1,1,3,3,1,5,3,3,3,4,0,0,5,4,5,1,2,1,4,1,1,4,14,5,3,2,1,4,6,2,0,1,2,1,1,4,0,3,4,2,0,1,1,3,4,1,3,3,3,3,1,5,4,3,4,2,2,5,3,3,2,2,6,4,2
Ford Kevin B,5,3,10,14,0,1,1,5,4,1,15,4,10,4,2,0,0,3,18,7,1,6,1,11,1,6,5,5,52,8,4,1,12,29,6,0,2,2,2,6,5,0,9,5,4,1,0,3,2,10,10,5,8,3,16,1,8,12,3,3,2,3,5,7,6,7,4,5,4,5
Laugesen Richard Snyder,2,2,2,5,0,2,1,2,4,1,13,3,7,5,1,0,0,2,5,7,1,12,3,5,2,12,2,3,8,47,2,3,8,13,6,0,4,1,1,4,6,0,4,3,6,0,1,2,1,7,7,10,10,1,8,5,3,14,3,2,4,1,4,6,4,5,2,3,5,5
